state,city,store_url
Alabama,Evergreen,https://www.cvs.com/store-locator/evergreen-al-pharmacies/210-w-front-st-evergreen-al-36401/storeid=4847
Alabama,Fultondale,https://www.cvs.com/store-locator/fultondale-al-pharmacies/1535-decatur-hwy-fultondale-al-35068/storeid=4882
Alabama,Fultondale,https://www.cvs.com/store-locator/fultondale-al-pharmacies/3489-lowery-pkwy-fultondale-al-35068/storeid=17419
Alabama,Gordo,https://www.cvs.com/store-locator/gordo-al-pharmacies/536-hudson-dr-po-box-653-gordo-al-35466/storeid=4969
Alabama,Grand-Bay,https://www.cvs.com/store-locator/grand-bay-al-pharmacies/10115-grand-bay-wilmer-rd-south-grand-bay-al-36541/storeid=4782
Alabama,Gadsden,https://www.cvs.com/store-locator/gadsden-al-pharmacies/2608-w-meighan-blvd-gadsden-al-35904/storeid=4849
Alabama,Gadsden,https://www.cvs.com/store-locator/gadsden-al-pharmacies/806-hoke-st-gadsden-al-35903/storeid=4845
Alabama,Gardendale,https://www.cvs.com/store-locator/gardendale-al-pharmacies/205-fieldstown-rd-gardendale-al-35071/storeid=4833
Alabama,Greenville,https://www.cvs.com/store-locator/greenville-al-pharmacies/879-fort-dale-rd-greenville-al-36037/storeid=4953
Alabama,Guntersville,https://www.cvs.com/store-locator/guntersville-al-pharmacies/1445-gunter-avenue-guntersville-al-35976/storeid=4968
Alabama,Haleyville,https://www.cvs.com/store-locator/haleyville-al-pharmacies/1901-11th-ave-haleyville-al-35565/storeid=4822
Alabama,Hanceville,https://www.cvs.com/store-locator/hanceville-al-pharmacies/303-north-main-st-hanceville-al-35077/storeid=4960
Alabama,Hartselle,https://www.cvs.com/store-locator/hartselle-al-pharmacies/240-hwy-31-southwest-suite-11-hartselle-al-35640/storeid=4905
Alabama,Greensboro,https://www.cvs.com/store-locator/greensboro-al-pharmacies/675-tuscaloosa-street-greensboro-al-36744/storeid=4917
Alabama,Homewood,https://www.cvs.com/store-locator/homewood-al-pharmacies/3030-independence-dr-homewood-al-35209/storeid=4904
Alabama,Homewood,https://www.cvs.com/store-locator/homewood-al-pharmacies/418-west-valley-ave-homewood-al-35209/storeid=4829
Alabama,Homewood,https://www.cvs.com/store-locator/homewood-al-pharmacies/531-brookwood-village-homewood-al-35209/storeid=17642
Alabama,Harvest,https://www.cvs.com/store-locator/harvest-al-pharmacies/5859-highway-53-harvest-al-35749/storeid=10516
Alabama,Gulf-Shores,https://www.cvs.com/store-locator/gulf-shores-al-pharmacies/3820-gulf-shores-pkwy-gulf-shores-al-36542/storeid=17236
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/100-providence-main-st-g-huntsville-al-35806/storeid=1774
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/11030-south-memorial-pkwy-huntsville-al-35803/storeid=10037
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/2210-winchester-rd-huntsville-al-35811/storeid=5413
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/2212-whitesburg-dr-huntsville-al-35801/storeid=4899
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/2525-oakwood-ave-huntsville-al-35810/storeid=4908
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/2750-carl-t-jones-dr-se-ste-7-huntsville-al-35802/storeid=16706
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/6275-university-dr-nw-huntsville-al-35806/storeid=16685
Alabama,Huntsville,https://www.cvs.com/store-locator/huntsville-al-pharmacies/930-winchester-rd-huntsville-al-35811/storeid=2748
Alabama,Jacksonville,https://www.cvs.com/store-locator/jacksonville-al-pharmacies/1001-pelham-rd-south-jacksonville-al-36265/storeid=4907
Alabama,Jackson,https://www.cvs.com/store-locator/jackson-al-pharmacies/813-college-ave-jackson-al-36545/storeid=4868
Alabama,Jasper,https://www.cvs.com/store-locator/jasper-al-pharmacies/101-n-airport-rd-jasper-al-35504/storeid=4834
Alabama,Hoover,https://www.cvs.com/store-locator/hoover-al-pharmacies/1881-chace-rd-hoover-al-35244/storeid=4889
Alabama,Hoover,https://www.cvs.com/store-locator/hoover-al-pharmacies/2201-tyler-rd-hoover-al-35226/storeid=4913
Alabama,Hoover,https://www.cvs.com/store-locator/hoover-al-pharmacies/2301-john-hawkins-pkwy-hoover-al-35244/storeid=2662
Alabama,Hoover,https://www.cvs.com/store-locator/hoover-al-pharmacies/5400-hwy-280-hoover-al-35242/storeid=10181
Alabama,Madison,https://www.cvs.com/store-locator/madison-al-pharmacies/8207-highway-72-w-madison-al-35758/storeid=17652
Alabama,Madison,https://www.cvs.com/store-locator/madison-al-pharmacies/8470-hwy-72-west-madison-al-35758/storeid=7155
Alabama,Madison,https://www.cvs.com/store-locator/madison-al-pharmacies/8503-old-madison-pike-madison-al-35758/storeid=4884
